k1;k2;k3;k4;;
1,837233012;1,897446379;1,818464867;1,785037176;;
1,927162475;1,912439388;1,724113383;1,731308808;;
2,026047152;1,909099987;1,66311859;1,760253465;;
1,801412717;1,836429749;1,81506893;1,801284663;;
1,954171412;2,017987713;1,762812236;1,763520165;;
1,828852513;1,895456173;1,833487146;1,861033816;;
1,899912965;1,764916527;1,987976405;1,872326933;;
1,90372452;1,879478762;1,794034173;1,612055377;;
1,892893993;1,869095505;1,726615333;1,803031062;;
1,96508618;1,84130784;1,894541105;1,836127478;;
1,838609014;1,86426486;1,955502111;1,81902719;;
1,857076393;1,984698705;1,875588514;1,735924048;;
1,772036183;1,88068264;1,767655754;1,868918045;;
1,868912159;2,190589951;1,835925551;1,771982456;;
1,848809905;1,859875659;1,893431115;1,844240204;;
2,001875289;1,936608628;1,730513427;1,701225096;;
1,852120104;2,003616849;1,70257297;1,888039193;;
1,984808752;1,793100723;1,840994875;1,763716254;;
1,742457229;1,963630706;1,837888651;1,749034456;;
1,952833198;1,945960859;1,670282743;1,819932331;;
1,862902829;2,048239123;1,748259525;1,862908132;;
1,9128564;1,918848909;1,843457488;1,851975698;;
1,795824277;1,94836638;1,708852188;1,799562431;;
1,722595114;1,873800982;1,805032616;1,854458169;;
1,918573064;1,934105247;1,760099152;1,942343596;;
1,888595374;1,847324826;1,741712414;1,820141425;;
1,863481729;1,981151684;1,84590554;1,717184298;;
1,988119279;1,935822759;1,669341615;2,121234117;;
1,820544876;1,976127951;1,556004494;1,811416251;;
1,886512901;2,003175229;1,718766012;1,707624094;;
1,846457972;2,010964003;1,807245999;1,73981208;;
2,042358631;1,981149168;1,890684061;1,855584812;;
1,889351721;1,950067168;1,854247556;1,869439199;;
2,049787673;2,013627103;1,900974518;1,785712132;;
2,054109209;1,977340715;1,764862124;1,7894478;;
1,823991491;1,843575768;1,854487684;1,847698588;;
1,903803479;1,930525352;1,818273371;1,774698997;;
1,84366437;2,030380157;1,848927067;1,76363348;;
1,869952406;2,04537825;1,85526758;1,876209589;;
1,896543177;1,765793493;1,664036126;1,743760429;;
1,92435447;1,999483769;1,724673307;1,893199231;;
1,985049027;1,82600201;1,732019262;1,749749103;;
1,82613554;1,826250317;1,797159478;1,823488991;;
1,976651787;2,003262119;1,943457136;1,882081275;;
1,771116957;1,999648618;1,742071445;1,909268738;;
1,814318002;1,971532747;1,798977353;1,877695293;;
1,894121549;2,033474077;1,87289731;1,951574055;;
2,082673162;2,047203126;1,882959483;1,975634368;;
1,868057695;1,915540885;1,673888601;1,884988562;;
2,047350593;1,996559309;1,679000132;1,95584745;;
1,840098936;1,932429231;1,778375663;1,869317669;;
2,021665916;1,937163948;1,871171569;1,696392883;;
2,035064928;1,962394467;1,881128357;1,836822359;;
1,849367321;1,846964428;1,853916468;1,94344886;;
1,923347399;1,948943652;1,772092902;1,825476355;;
1,803674635;1,867795024;1,871772398;1,897645242;;
2,035296931;1,921543136;1,720415752;1,720793518;;
1,840047116;1,758807964;1,665223245;1,815396652;;
1,997705811;1,830308239;1,794024176;1,929105968;;
1,730801986;2,069460062;1,768472993;1,868519279;;
1,947735914;1,958798552;1,775826091;1,909703552;;
1,932664632;1,731636761;1,966283407;1,637009878;;
1,851437305;1,904845132;1,806782804;1,906321379;;
1,988393509;1,827931376;1,868569319;1,663616608;;
2,026640559;1,924579365;1,743318903;1,790420653;;
1,965231143;2,051865212;1,85520872;1,648367485;;
2,110154357;1,811344675;1,86586337;1,689311743;;
2,021009116;2,121319067;1,82863926;1,794703975;;
1,88514505;1,927703346;1,930571842;1,839198382;;
1,972073078;1,965955529;1,766808994;1,851665296;;
1,821612978;1,881062457;1,856662943;1,753795352;;
1,914155283;1,987945545;1,762182414;1,951485641;;
1,838213676;2,04273197;1,873326207;1,857692196;;
1,958685263;2,049338139;1,701924361;1,793336775;;
1,653396709;1,901236356;1,799108776;1,806307872;;
1,776789326;1,862882046;1,814331508;1,881157896;;
1,895977211;1,889180676;1,942590019;1,87889197;;
1,776597719;1,997540545;1,89464602;1,903595339;;
1,914476683;1,883814042;1,935590462;1,652180743;;
1,971582696;2,036279954;1,794897272;1,836529187;;
1,847607599;1,874372499;1,797586933;1,990437206;;
1,860231634;1,804892198;1,797686492;1,86685253;;
2,029599465;1,949849193;1,580300352;1,805905893;;
1,90095583;1,921334893;1,888048108;1,782411826;;
1,977327964;1,940850259;1,767089794;1,729399251;;
1,906872191;2,002570106;1,83643476;1,966833075;;
1,880684749;1,896625436;1,865391708;1,704706572;;
1,891923616;1,865105019;1,898748784;1,767980792;;
1,946236355;2,065256428;1,885963455;1,796551442;;
1,849089363;1,839524208;1,640882768;1,954078276;;
1,872650234;1,974732596;1,671907802;1,918265704;;
1,919600217;1,931853114;1,764478006;1,602206939;;
2,134037329;1,806265413;1,695651229;1,769865226;;
2,017495655;1,927299496;1,862129071;1,717643815;;
1,926016856;1,823486888;1,777403982;1,882378192;;
1,777448478;1,841564425;1,767860831;1,801068835;;
1,985263623;2,045618818;2,050254678;1,757016141;;
1,925761498;1,84518231;1,677793145;1,833235557;;
1,929210907;1,980150585;1,686044775;1,884333286;;
1,99909354;2,002143882;1,675333581;1,781191675;;
1,849235825;1,910468383;1,967286856;1,726258591;;
2,043907842;1,946537555;1,710356874;1,756806941;;
1,934784784;1,814711011;1,825696378;1,801400108;;
1,846041196;1,951170033;1,716023962;1,905763876;;
1,871089817;2,037329698;1,715604561;1,839190408;;
1,75200877;1,906613111;1,698685234;1,863314127;;
1,810539632;1,886120632;1,816841951;1,930322048;;
1,721903028;1,800146807;1,69549586;2,103457347;;
1,962796828;1,910346268;1,713732443;1,953581279;;
1,821662087;2,014169415;1,962611295;1,868685995;;
1,835806682;1,948609711;1,743120684;1,749288078;;
1,981078203;1,79751071;1,809873288;1,664330789;;
1,969800906;1,834783467;1,742127523;1,674147741;;
1,785723918;1,971597556;1,793869974;1,901988148;;
2,004516592;2,044831199;1,925819423;1,736857483;;
1,864444447;1,922783215;1,668512473;1,917001279;;
1,87139916;1,986935524;1,773416652;1,817884909;;
1,86145434;2,016258267;1,8693052;1,911252335;;
1,91349557;1,850932256;1,805786442;1,718740184;;
1,87181365;1,861943289;1,900193358;1,909276718;;
2,037887958;1,906622616;1,710462121;1,652766194;;
1,911939967;1,849880098;1,71724251;1,665915386;;
1,716904806;1,951916162;1,793661563;1,842688108;;
1,962370591;1,877902919;1,774758531;1,971713105;;
2,156435435;1,87169362;2,044500958;1,947447974;;
1,831863727;1,936422981;1,839827366;1,726669016;;
1,944333656;1,896707098;1,808591411;1,816878487;;
2,069458303;1,801903628;1,889235509;1,723411751;;
1,911951607;1,958877166;1,864019624;1,8180821;;
1,798035115;1,879747102;1,946921357;1,81192109;;
1,758760165;1,959203839;1,741608022;1,817976415;;
1,943076668;2,020020587;1,764518748;1,799291945;;
1,856481326;1,992226089;1,786454571;1,887455081;;
1,752406201;1,970614216;1,783421955;1,880036143;;
1,862357136;2,014629542;1,811222149;1,767635106;;
1,899134067;1,908279598;1,741686644;1,86309585;;
1,820155164;1,988207883;1,750044971;1,717722477;;
1,897812271;1,969997364;1,752208366;1,802203664;;
1,862199182;1,883481079;1,719498346;1,812319237;;
1,88439267;1,87170003;2,062870988;1,675159866;;
1,99259088;2,08585195;1,820414058;1,820271307;;
1,983881842;1,894614617;1,896352692;1,934042793;;
1,911207429;1,913520077;1,984170158;1,644030618;;
1,904727106;1,917735254;1,629430482;1,820645378;;
1,940302935;1,879777676;1,76256861;1,865795674;;
1,962251084;1,923401165;1,830168609;1,956694078;;
1,958101988;1,891410458;1,778373362;1,815011802;;
1,998413842;1,897035386;1,827082051;1,768136269;;
1,798454412;1,971852301;1,858205399;1,945187887;;
1,925452628;2,000222501;1,821955786;2,03437638;;
1,862967291;1,754960592;1,817125594;2,010553466;;
1,985435804;1,890925912;1,963217867;1,839777569;;
1,921816438;1,98284896;1,861232353;1,735759232;;
1,919434264;1,85560361;1,883677694;1,779633425;;
1,954421951;1,827564962;1,892592416;1,760045084;;
1,938569897;1,893738138;1,796988142;1,920349692;;
2,048609067;1,898663493;1,909947717;1,964667044;;
1,762078547;1,94875781;1,935219947;1,856341045;;
1,758488142;1,97682907;1,891383014;1,718170327;;
2,019826853;1,801571015;1,715895502;1,658077593;;
1,959187939;1,841897736;1,765293962;1,722494713;;
1,993199254;1,876138943;1,847937506;1,732206525;;
2,069217241;1,799403177;1,956489242;1,706949758;;
1,806605348;1,831141329;1,619554147;1,88427463;;
1,910771206;1,966174755;1,765210814;1,753743617;;
1,846976432;1,941810828;1,799534794;1,751133674;;
1,948256472;1,953201429;1,810062177;1,919837502;;
1,999074936;2,001104856;1,735027421;1,781684472;;
1,88452083;1,884391239;1,746128789;2,005386328;;
1,785742566;2,014344517;1,902885527;2,018998957;;
1,797788932;1,670804706;1,80882411;1,750701506;;
1,907304629;2,033229379;1,71635497;1,844121696;;
1,970158584;1,930911438;1,963778059;1,818348791;;
2,026731385;1,951512355;1,741092092;1,743961123;;
1,818117535;1,823620874;1,735723843;1,763070877;;
2,036075786;1,930751134;1,861132608;1,885546861;;
1,859605904;1,870014555;1,758441615;1,786895087;;
1,965668342;1,96608776;1,907966808;1,934775981;;
1,844691942;1,854798639;1,573573533;1,828832909;;
1,982331766;1,943584865;1,706570641;1,740775266;;
1,922234531;1,974681314;1,7084976;1,701789101;;
1,985009862;1,936788093;1,744748371;1,937811884;;
2,106633419;1,944425228;1,897534197;1,87130825;;
1,985949681;1,905605871;1,904804386;1,833967781;;
1,781767508;1,803135626;1,822579576;1,893975492;;
1,89387578;1,951466643;1,798752065;2,051463728;;
2,008271881;2,004834431;1,832114509;1,749835652;;
1,867904801;1,935822408;1,871444737;1,637961048;;
1,831148525;1,994293435;1,634631752;1,698179794;;
1,979358613;1,911460671;1,879246632;1,905892852;;
1,859625265;1,835757137;1,781967462;1,818590448;;
1,970788938;1,90292856;1,887517812;1,972105663;;
1,956533967;1,796063496;1,679496563;1,65601418;;
2,035709203;1,900958156;1,674268042;1,736076738;;
1,705150765;1,892615832;1,608478599;1,827031924;;
1,806012754;1,865049778;1,840000735;1,652322242;;
1,992863255;1,922064474;1,681438556;1,711844777;;
1,851732847;1,821981593;1,868290435;1,818101049;;
1,944503008;1,9314758;1,600296334;1,806293614;;
1,706601664;1,9833537;1,776198676;1,95981291;;
2,013186429;1,793978803;1,859155532;1,784518807;;
2,044024366;1,82583698;1,817597077;1,732253844;;
1,938021779;1,904335485;1,650488861;1,790180837;;
1,998941252;1,643857899;1,956494531;1,701515948;;
1,784733098;1,997657809;1,853130617;1,752780327;;
1,890235153;1,891017412;1,672495362;1,755236779;;
1,844103381;1,727908392;1,841570567;1,745156335;;
1,807182323;1,854445382;1,686476945;1,824147394;;
1,931095553;1,917380163;1,608151841;1,777233131;;
1,855714724;1,982963399;1,758358816;1,656509353;;
2,122129562;1,69401509;1,814035648;1,823455251;;
1,878953309;1,900601154;1,821462532;1,881465832;;
1,991902178;1,896339351;1,904299814;1,738840749;;
1,818517848;1,951574127;1,959182601;1,955990822;;
1,853808286;1,856531999;1,985852243;1,956094252;;
2,010951671;1,897712912;1,732507983;1,767018824;;
1,982792983;1,988163134;1,890651519;1,70200415;;
2,025730026;1,975452035;1,836789339;1,74139806;;
1,874096599;1,907076506;1,7616284;1,689827952;;
1,981502374;1,724804958;1,820577236;1,915492749;;
1,993700381;1,822111675;1,847514986;1,937827766;;
1,974960342;1,830273461;1,86427015;1,959622173;;
1,879457436;1,995635226;1,908691105;1,668386371;;
1,911303353;1,764433236;1,856018845;1,698189038;;
2,034781382;2,010196578;1,855513072;1,71821227;;
1,993719596;1,865188997;1,657473454;1,890347874;;
1,866909243;2,116985149;1,766682733;1,730850982;;
1,991977692;1,999894624;1,845614811;1,799472239;;
1,934080347;1,952335748;1,836919387;1,703950915;;
2,016721394;1,973221822;1,709796961;1,867790192;;
1,889894863;2,006594622;1,667663024;1,715522634;;
1,67480935;1,967584229;1,815598943;1,867843631;;
1,953019349;2,032653881;1,922674575;1,896426197;;
2,059803134;1,860104664;1,879287918;1,761389687;;
1,989086508;1,87632892;1,684902319;1,731098578;;
1,998167014;1,964178794;1,787619127;1,840019694;;
1,975874262;1,787821345;1,70840792;1,794403671;;
1,715654671;1,902926544;2,021470167;1,74720052;;
1,91358999;1,880934516;1,769331443;1,659607236;;
1,935738587;2,120137468;1,658538114;1,705404582;;
1,868284826;1,695356923;1,701621572;1,78996789;;
2,127057243;2,084629606;1,842056809;1,8738241;;
1,934048893;1,8954288;1,855073065;1,831808079;;
1,967740339;1,907774544;1,764008812;1,953683145;;
1,989590181;1,966529817;1,883160646;1,823645886;;
1,874834113;1,88793712;1,730689458;1,864655935;;
1,850031053;1,854885915;1,856259198;1,787594281;;
1,838132313;1,910395483;1,706618545;1,769710832;;
1,876568669;1,954883998;1,955718201;1,939034978;;
1,996166671;1,980329685;1,661453096;1,723211222;;
1,813557364;1,893271006;1,671731279;1,764063901;;
2,105530663;1,859739864;1,812800152;1,729054193;;
1,838672458;1,992814942;1,664195393;1,720356825;;
1,838467751;1,974784111;1,650820733;1,767894439;;
1,822469545;1,914598699;1,970893008;1,783200261;;
1,96139493;1,774359878;1,79109824;1,852647153;;
2,059040198;1,779275416;1,777860962;1,85191807;;
1,74229752;1,884527576;1,784050128;1,781440887;;
1,877908679;1,797431566;1,822359209;1,710703895;;
1,856295629;1,966691693;1,709776477;1,779829158;;
1,889202537;1,925789609;1,610296833;1,853739917;;
1,816112803;1,947201283;1,767932596;1,779114733;;
1,815980763;2,02861439;1,672615102;1,658104725;;
1,874355974;1,703877328;1,758984493;1,807031312;;
1,850727007;1,819985413;1,643900791;1,888394492;;
1,763049772;2,02630214;1,811466839;1,853309081;;
1,884690959;1,933506562;2,021259543;1,737029885;;
1,961421467;1,823878385;1,718040708;1,781644474;;
1,913235404;1,938276596;1,720794914;1,769895134;;
1,887949267;1,948873207;1,801341779;1,918601721;;
1,873213077;2,126692976;1,849009219;1,809683293;;
1,80192596;1,984581533;1,70242664;2,005059836;;
1,894241085;1,981158967;1,775617652;1,818973758;;
1,897214197;1,976732196;1,822538308;1,826897336;;
1,811319306;1,907100272;1,682578053;1,815232126;;
1,875236456;1,993205448;1,700160707;1,810698948;;
1,997290457;1,998909643;1,905018165;1,827096019;;
1,931814717;2,061261045;1,874856171;1,753490934;;
1,936838894;1,842011831;1,624966033;1,84943569;;
1,889697156;2,025928253;1,730881027;1,733146304;;
1,798830446;1,908002434;1,832632726;1,732904804;;
